Submission ID,Respondent ID,Submitted at,Gender,Age,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?,What according to you is the source of the above image?,How confident are you with the above answer?,How aesthetically appealing is the above image?
p08XXJ,lAVZ6v,2024-03-29 12:09:55,Prefer not to say,0,Human Created,5,8,Human Created,6,8,AI Generated,5,8,AI Generated,6,7,AI Generated,5,9,AI Generated,7,7,Human Created,7,7,Human Created,6,7,AI Generated,7,6,AI Generated,6,7,Human Created,5,6,AI Generated,6,6,Human Created,6,7,AI Generated,6,7,AI Generated,7,6,AI Generated,6,6,AI Generated,7,7,Human Created,6,6,AI Generated,6,6,Human Created,6,6
ZGpjVB,rK24zl,2024-03-29 15:19:16,Male,22,Human Created,6,6,AI Generated,7,5,Human Created,6,7,AI Generated,6,7,AI Generated,6,7,Human Created,6,7,Human Created,6,6,AI Generated,6,6,AI Generated,6,6,AI Generated,7,7,AI Generated,6,7,Human Created,6,7,AI Generated,6,7,Human Created,7,7,AI Generated,6,8,Human Created,6,5,AI Generated,6,8,AI Generated,6,7,Human Created,6,7,AI Generated,6,7
P2a8GV,2k1KrM,2024-03-29 19:28:51,Male,24,AI Generated,8,10,Human Created,5,7,Human Created,5,10,AI Generated,10,4,Human Created,10,9,AI Generated,7,4,Human Created,5,7,Human Created,5,8,Human Created,2,8,AI Generated,1,10,AI Generated,5,8,Human Created,3,10,Human Created,5,8,Human Created,5,8,AI Generated,4,9,Human Created,1,9,AI Generated,10,7,AI Generated,7,4,AI Generated,4,9,Human Created,7,7
b2BrW1,XGOOW4,2024-03-30 8:13:29,Male,22,Human Created,7,7,AI Generated,6,6,AI Generated,7,8,AI Generated,7,6,AI Generated,8,7,AI Generated,7,6,Human Created,7,6,AI Generated,8,8,AI Generated,6,5,AI Generated,9,6,AI Generated,7,7,AI Generated,7,7,AI Generated,8,8,AI Generated,8,7,AI Generated,7,7,AI Generated,7,7,AI Generated,10,7,AI Generated,7,7,AI Generated,7,6,Human Created,9,6
DXrDEl,XGOOW4,2024-03-30 8:22:32,Male,21,AI Generated,8,8,AI Generated,10,6,Human Created,9,9,AI Generated,8,10,AI Generated,10,10,Human Created,9,9,Human Created,8,7,Human Created,8,8,Human Created,8,6,AI Generated,9,8,AI Generated,9,9,AI Generated,9,9,Human Created,9,10,Human Created,9,7,AI Generated,9,10,AI Generated,9,9,AI Generated,9,9,AI Generated,9,10,Human Created,8,9,Human Created,9,8
V9RMZj,XGOOW4,2024-03-30 8:31:52,Male,20,AI Generated,8,8,AI Generated,7,6,Human Created,9,6,AI Generated,9,8,AI Generated,6,8,Human Created,7,5,Human Created,8,5,Human Created,8,8,Human Created,6,5,Human Created,8,9,Human Created,8,8,AI Generated,7,7,Human Created,8,8,Human Created,8,6,AI Generated,7,7,AI Generated,8,7,Human Created,8,7,AI Generated,8,7,AI Generated,7,8,Human Created,8,6
r0NdQp,1KDLbL,2024-03-30 8:40:07,Male,20,AI Generated,6,5,AI Generated,8,6,AI Generated,7,5,AI Generated,8,9,AI Generated,8,9,Human Created,6,6,Human Created,5,6,AI Generated,7,6,AI Generated,8,6,AI Generated,8,7,AI Generated,7,9,AI Generated,6,7,AI Generated,5,8,Human Created,8,4,AI Generated,8,9,Human Created,6,6,AI Generated,9,8,AI Generated,8,7,Human Created,5,6,Human Created,6,4
o0rlGO,XGOOW4,2024-03-30 9:22:38,Male,25,Human Created,10,10,AI Generated,10,7,Human Created,10,9,Human Created,10,10,AI Generated,5,10,Human Created,10,7,Human Created,10,6,AI Generated,6,6,AI Generated,7,6,AI Generated,10,7,Human Created,8,8,AI Generated,7,8,Human Created,8,6,Human Created,8,9,Human Created,9,8,Human Created,8,9,Human Created,6,7,AI Generated,9,9,Human Created,10,8,Human Created,8,7
z0p2eM,xQ4ODG,2024-03-30 9:40:43,Male,23,AI Generated,7,6,AI Generated,8,8,AI Generated,8,7,AI Generated,8,8,Human Created,8,8,AI Generated,8,7,Human Created,9,8,Human Created,9,9,Human Created,9,7,AI Generated,9,7,AI Generated,9,8,AI Generated,7,8,Human Created,9,9,Human Created,9,9,AI Generated,9,9,Human Created,9,9,AI Generated,9,9,AI Generated,9,8,AI Generated,9,9,Human Created,9,9
B8z8eA,0MDvN9,2024-03-31 9:24:53,Male,22,AI Generated,1,6,AI Generated,1,5,Human Created,5,5,Human Created,5,5,Human Created,3,5,Human Created,5,3,Human Created,4,2,Human Created,5,5,Human Created,4,3,AI Generated,3,6,AI Generated,4,7,AI Generated,4,4,Human Created,4,2,Human Created,5,4,AI Generated,4,3,AI Generated,4,4,AI Generated,4,4,AI Generated,3,3,Human Created,4,3,AI Generated,3,3
